,Area_Surveyed,date_surveyed,daily_co2_emmission_ppm_stationary
528,Eleme Junction,2022-03-08,551.8858804227694
536,Eleme Junction,2022-03-09,552.4321142959546
544,Eleme Junction,2022-03-10,555.9861425072412
552,Eleme Junction,2022-03-11,551.4618447550039
560,Eleme Junction,2022-03-12,550.3510288284915
568,Eleme Junction,2022-03-13,547.9853176799274
576,Eleme Junction,2022-03-14,548.2474298759505
584,Eleme Junction,2022-03-15,551.630418913177
592,Eleme Junction,2022-03-16,555.8620767392341
600,Eleme Junction,2022-03-17,554.207462217461
608,Eleme Junction,2022-03-18,546.6108900522138
616,Eleme Junction,2022-03-19,547.04871603655
624,Eleme Junction,2022-03-20,548.1858567255856
632,Eleme Junction,2022-03-21,552.8183302079118
640,Eleme Junction,2022-03-22,549.9364461455375
648,Eleme Junction,2022-03-23,547.9176228018758
656,Eleme Junction,2022-03-24,549.1111329613133
664,Eleme Junction,2022-03-25,546.6744810729191
672,Eleme Junction,2022-03-26,549.0163377510435
680,Eleme Junction,2022-03-27,548.1678319257304
688,Eleme Junction,2022-03-28,550.5214993480113
696,Eleme Junction,2022-03-29,554.880481543608
704,Eleme Junction,2022-03-30,553.3889695805256
712,Eleme Junction,2022-03-31,555.2017272063679
720,Eleme Junction,2022-04-01,552.4586405444575
728,Eleme Junction,2022-04-02,556.5800673811202
736,Eleme Junction,2022-04-03,556.2005306667842
744,Eleme Junction,2022-04-04,557.4567714667489
752,Eleme Junction,2022-04-05,557.3849645267243
760,Eleme Junction,2022-04-06,558.211338668707
768,Eleme Junction,2022-04-07,557.1654505680949
776,Eleme Junction,2022-04-08,560.1716288976664
784,Eleme Junction,2022-04-09,561.9205602283665
792,Eleme Junction,2022-04-10,557.1429536598565
800,Eleme Junction,2022-04-11,556.9894440618996
808,Eleme Junction,2022-04-12,555.6916473433297
816,Eleme Junction,2022-04-13,551.1593336403307
824,Eleme Junction,2022-04-14,553.2610065482315
832,Eleme Junction,2022-04-15,552.6609400837621
840,Eleme Junction,2022-04-16,553.5720700586335
848,Eleme Junction,2022-04-17,548.8946920410434
856,Eleme Junction,2022-04-18,550.7576299287305
864,Eleme Junction,2022-04-19,552.8476219501113
872,Eleme Junction,2022-04-20,553.1167573650779
880,Eleme Junction,2022-04-21,551.6177661555545
888,Eleme Junction,2022-04-22,556.5222123088882
896,Eleme Junction,2022-04-23,558.8459981162218
904,Eleme Junction,2022-04-24,555.9377281813553
912,Eleme Junction,2022-04-25,553.1559877269488
920,Eleme Junction,2022-04-26,549.5724599088642
928,Eleme Junction,2022-04-27,553.1030534362048
936,Eleme Junction,2022-04-28,553.2842119053433
944,Eleme Junction,2022-04-29,554.0375323337404
952,Eleme Junction,2022-04-30,549.8859636336182
960,Eleme Junction,2022-05-01,552.9015775435328
968,Eleme Junction,2022-05-02,553.276875280473
976,Eleme Junction,2022-05-03,547.256307196331
984,Eleme Junction,2022-05-04,547.1926975374317
992,Eleme Junction,2022-05-05,549.7524092762022
1000,Eleme Junction,2022-05-06,550.1937274933416
1008,Eleme Junction,2022-05-07,553.8404217453391
1016,Eleme Junction,2022-05-08,550.6210042217374
1024,Eleme Junction,2022-05-09,553.3537839552162
1032,Eleme Junction,2022-05-10,550.2675822686513
1040,Eleme Junction,2022-05-11,552.4741160880559
1048,Eleme Junction,2022-05-12,551.4900587616391
1056,Eleme Junction,2022-05-13,555.7295526331474
1064,Eleme Junction,2022-05-14,557.9825608432031
1072,Eleme Junction,2022-05-15,554.2979965902422
1080,Eleme Junction,2022-05-16,558.0171741131695
1088,Eleme Junction,2022-05-17,562.1738288792186
1096,Eleme Junction,2022-05-18,561.4020267154531
1104,Eleme Junction,2022-05-19,559.9622017008172
1112,Eleme Junction,2022-05-20,557.6652991905721
1120,Eleme Junction,2022-05-21,557.7236374334004
1128,Eleme Junction,2022-05-22,557.3737632033803
1136,Eleme Junction,2022-05-23,556.6539902423663
1144,Eleme Junction,2022-05-24,556.9351156696564
1152,Eleme Junction,2022-05-25,552.8160284687596
1160,Eleme Junction,2022-05-26,553.4503159281317
1168,Eleme Junction,2022-05-27,549.8994106496922
1176,Eleme Junction,2022-05-28,554.7674924547845
1184,Eleme Junction,2022-05-29,557.2448842183492
1192,Eleme Junction,2022-05-30,556.4024364528444
1200,Eleme Junction,2022-05-31,554.555955516991
1208,Eleme Junction,2022-06-01,554.9217348618937
1216,Eleme Junction,2022-06-02,551.9526934033255
1224,Eleme Junction,2022-06-03,553.0601303823279
1232,Eleme Junction,2022-06-04,552.7235617676296
1240,Eleme Junction,2022-06-05,554.4088532373407
1248,Eleme Junction,2022-06-06,551.4366982661386
1256,Eleme Junction,2022-06-07,553.479565286297
1264,Eleme Junction,2022-06-08,547.9930287004079
1272,Eleme Junction,2022-06-09,546.8821005902855
1280,Eleme Junction,2022-06-10,551.7994679131999
1288,Eleme Junction,2022-06-11,552.24889403924
1296,Eleme Junction,2022-06-12,552.155415827468
1304,Eleme Junction,2022-06-13,552.3527330792277
1312,Eleme Junction,2022-06-14,550.7508371554594
1320,Eleme Junction,2022-06-15,552.8456720088216
1328,Eleme Junction,2022-06-16,550.8811079061751
1336,Eleme Junction,2022-06-17,555.8385575343226
1344,Eleme Junction,2022-06-18,553.5464862740258
1352,Eleme Junction,2022-06-19,551.6532233918181
1360,Eleme Junction,2022-06-20,552.2336308742725
1368,Eleme Junction,2022-06-21,546.2695826119907
1376,Eleme Junction,2022-06-22,549.4637133283935
1384,Eleme Junction,2022-06-23,548.8041308298755
1392,Eleme Junction,2022-06-24,545.7231650809128
1400,Eleme Junction,2022-06-25,545.429289556639
1408,Eleme Junction,2022-06-26,545.6878296896473
1416,Eleme Junction,2022-06-27,545.6618242827531
1424,Eleme Junction,2022-06-28,550.0185279979272
1432,Eleme Junction,2022-06-29,550.0940025985491
1440,Eleme Junction,2022-06-30,550.0733438189844
1448,Eleme Junction,2022-07-01,544.6488536732891
1456,Eleme Junction,2022-07-02,542.0863695713024
1464,Eleme Junction,2022-07-03,544.2445186999116
1472,Eleme Junction,2022-07-04,544.5011585899382
1480,Eleme Junction,2022-07-05,548.5964845129566
1488,Eleme Junction,2022-07-06,554.7365966590696
1496,Eleme Junction,2022-07-07,557.1328086613487
1504,Eleme Junction,2022-07-08,558.9977860629441
1512,Eleme Junction,2022-07-09,562.3559182440608
1520,Eleme Junction,2022-07-10,564.9043377708425
1528,Eleme Junction,2022-07-11,561.7278949395898
1536,Eleme Junction,2022-07-12,563.2737439577128
1544,Eleme Junction,2022-07-13,568.532814770399
1552,Eleme Junction,2022-07-14,563.9170253392793
1560,Eleme Junction,2022-07-15,562.9602157374954
1568,Eleme Junction,2022-07-16,565.2718580162468
1576,Eleme Junction,2022-07-17,567.5036906113728
1584,Eleme Junction,2022-07-18,569.7570234279609
1592,Eleme Junction,2022-07-19,570.0382933995726
1600,Eleme Junction,2022-07-20,570.9869223797008
1608,Eleme Junction,2022-07-21,572.1664706657906
1616,Eleme Junction,2022-07-22,573.4017099660534
1624,Eleme Junction,2022-07-23,576.1267299762374
1632,Eleme Junction,2022-07-24,573.5174544833661
1640,Eleme Junction,2022-07-25,573.5417261383564
1648,Eleme Junction,2022-07-26,569.9981767968494
1656,Eleme Junction,2022-07-27,567.9205412577946
1664,Eleme Junction,2022-07-28,570.8057098804563
1672,Eleme Junction,2022-07-29,573.5233394163195
1680,Eleme Junction,2022-07-30,576.1981260914235
1688,Eleme Junction,2022-07-31,579.2963127639965
1696,Eleme Junction,2022-08-01,580.2357139347976
1704,Eleme Junction,2022-08-02,581.1980962543583
1712,Eleme Junction,2022-08-03,581.7638223780508
1720,Eleme Junction,2022-08-04,580.3078166646355
1728,Eleme Junction,2022-08-05,584.9596851652449
1736,Eleme Junction,2022-08-06,590.8376736156714
1744,Eleme Junction,2022-08-07,589.41249253097
1752,Eleme Junction,2022-08-08,591.131482771679
1760,Eleme Junction,2022-08-09,593.0529069401753
1768,Eleme Junction,2022-08-10,596.1310878581227
1776,Eleme Junction,2022-08-11,594.1444360006859
1784,Eleme Junction,2022-08-12,595.2673147004801
1792,Eleme Junction,2022-08-13,593.447025790336
1800,Eleme Junction,2022-08-14,593.9527235532352
1808,Eleme Junction,2022-08-15,592.4180289872646
1816,Eleme Junction,2022-08-16,593.5701222910852
1824,Eleme Junction,2022-08-17,598.5902841037596
1832,Eleme Junction,2022-08-18,603.9680903726318
1840,Eleme Junction,2022-08-19,606.3985222608422
1848,Eleme Junction,2022-08-20,599.8290780825895
1856,Eleme Junction,2022-08-21,601.7596401578127
1864,Eleme Junction,2022-08-22,604.7644536104689
1872,Eleme Junction,2022-08-23,604.9768450273283
1880,Eleme Junction,2022-08-24,607.0421500191297
1888,Eleme Junction,2022-08-25,608.0682865133908
1896,Eleme Junction,2022-08-26,607.9993970593736
1904,Eleme Junction,2022-08-27,604.5293804415614
1912,Eleme Junction,2022-08-28,608.5612018090931
1920,Eleme Junction,2022-08-29,612.0028462663652
1928,Eleme Junction,2022-08-30,614.9811063864557
1936,Eleme Junction,2022-08-31,615.631844970519
1944,Eleme Junction,2022-09-01,615.4360919793633
1952,Eleme Junction,2022-09-02,619.1340353855543
1960,Eleme Junction,2022-09-03,627.637091269888
1968,Eleme Junction,2022-09-04,626.3424108889214
1976,Eleme Junction,2022-09-05,624.207595622245
1984,Eleme Junction,2022-09-06,626.5941464355715
1992,Eleme Junction,2022-09-07,625.0672105049
2000,Eleme Junction,2022-09-08,628.32705685343
2008,Eleme Junction,2022-09-09,627.286044297401
2016,Eleme Junction,2022-09-10,627.0210020081806
2024,Eleme Junction,2022-09-11,629.7385199057263
2032,Eleme Junction,2022-09-12,634.9524929340083
2040,Eleme Junction,2022-09-13,631.9730645538059
2048,Eleme Junction,2022-09-14,629.7479541876642
2056,Eleme Junction,2022-09-15,631.0008849313649
2064,Eleme Junction,2022-09-16,631.9904424519555
2072,Eleme Junction,2022-09-17,635.0645267163688
2080,Eleme Junction,2022-09-18,638.3442762014581
2088,Eleme Junction,2022-09-19,637.5077318410206
2096,Eleme Junction,2022-09-20,643.5336122887144
2104,Eleme Junction,2022-09-21,638.9498426021
2112,Eleme Junction,2022-09-22,640.91874932147
2120,Eleme Junction,2022-09-23,639.8784365250291
2128,Eleme Junction,2022-09-24,641.6777265675205
2136,Eleme Junction,2022-09-25,643.9476670972643
2144,Eleme Junction,2022-09-26,649.752769968085
2152,Eleme Junction,2022-09-27,645.9792994776594
2160,Eleme Junction,2022-09-28,648.7755411343616
2168,Eleme Junction,2022-09-29,654.9313832940531
2176,Eleme Junction,2022-09-30,658.5010238058372
2184,Eleme Junction,2022-10-01,656.028521664086
2192,Eleme Junction,2022-10-02,658.7560626648602
2200,Eleme Junction,2022-10-03,655.5962983654022
2208,Eleme Junction,2022-10-04,658.9426473557814
2216,Eleme Junction,2022-10-05,658.871389149047
2224,Eleme Junction,2022-10-06,665.9353199043329
2232,Eleme Junction,2022-10-07,669.352468433033
2240,Eleme Junction,2022-10-08,667.5341419031231
2248,Eleme Junction,2022-10-09,664.9345228321862
2256,Eleme Junction,2022-10-10,666.8101474825304
2264,Eleme Junction,2022-10-11,669.8758782377713
2272,Eleme Junction,2022-10-12,672.6857057664399
2280,Eleme Junction,2022-10-13,668.873443536508
2288,Eleme Junction,2022-10-14,674.7608749755556
2296,Eleme Junction,2022-10-15,679.3987324828889
2304,Eleme Junction,2022-10-16,676.2471552380223
2312,Eleme Junction,2022-10-17,678.3801311666155
2320,Eleme Junction,2022-10-18,680.9769563166308
2328,Eleme Junction,2022-10-19,686.0583259216415
2336,Eleme Junction,2022-10-20,684.971607145149
2344,Eleme Junction,2022-10-21,686.8652500016043
2352,Eleme Junction,2022-10-22,689.8824190011231
2360,Eleme Junction,2022-10-23,692.3160433007862
2368,Eleme Junction,2022-10-24,690.3250128105503
2376,Eleme Junction,2022-10-25,690.0390114673853
2384,Eleme Junction,2022-10-26,693.3288935271697
2392,Eleme Junction,2022-10-27,697.3101954690188
2400,Eleme Junction,2022-10-28,696.3853013283132
2408,Eleme Junction,2022-10-29,694.6991839298192
2416,Eleme Junction,2022-10-30,695.5787152508734
2424,Eleme Junction,2022-10-31,700.8248046756114
2432,Eleme Junction,2022-11-01,704.544548272928
2440,Eleme Junction,2022-11-02,700.8162342910495
2448,Eleme Junction,2022-11-03,703.0091355037346
2456,Eleme Junction,2022-11-04,700.5551248526143
2464,Eleme Junction,2022-11-05,708.68659039683
2472,Eleme Junction,2022-11-06,708.6118167777809
2480,Eleme Junction,2022-11-07,711.1769482444466
2488,Eleme Junction,2022-11-08,712.2286032711127
2496,Eleme Junction,2022-11-09,714.8951627897789
2504,Eleme Junction,2022-11-10,715.2550869528452
2512,Eleme Junction,2022-11-11,717.4532703669917
2520,Eleme Junction,2022-11-12,721.8843107568941
2528,Eleme Junction,2022-11-13,720.1165845298258
2536,Eleme Junction,2022-11-14,720.145761170878
2544,Eleme Junction,2022-11-15,719.5720348196147
2552,Eleme Junction,2022-11-16,722.5665418737302
2560,Eleme Junction,2022-11-17,721.5202298116111
2568,Eleme Junction,2022-11-18,723.4592168681277
2576,Eleme Junction,2022-11-19,724.2821808076894
2584,Eleme Junction,2022-11-20,729.2365545653826
2592,Eleme Junction,2022-11-21,737.2501186957678
2600,Eleme Junction,2022-11-22,735.8001935870374
2608,Eleme Junction,2022-11-23,732.9590635109262
2616,Eleme Junction,2022-11-24,734.6343674576484
2624,Eleme Junction,2022-11-25,741.5506747203539
2632,Eleme Junction,2022-11-26,741.5596358042478
2640,Eleme Junction,2022-11-27,743.7248660629735
2648,Eleme Junction,2022-11-28,745.6661222440815
2656,Eleme Junction,2022-11-29,746.2555390708571
2664,Eleme Junction,2022-11-30,748.1804593496
2672,Eleme Junction,2022-12-01,747.6821625447201
2680,Eleme Junction,2022-12-02,753.1852987813041
2688,Eleme Junction,2022-12-03,749.2158536469128
2696,Eleme Junction,2022-12-04,754.758453052839
2704,Eleme Junction,2022-12-05,754.7794596369872
2712,Eleme Junction,2022-12-06,758.245512745891
2720,Eleme Junction,2022-12-07,759.3222389221236
2728,Eleme Junction,2022-12-08,761.4557267454865
2736,Eleme Junction,2022-12-09,763.9726617218405
2744,Eleme Junction,2022-12-10,758.6682622052883
2752,Eleme Junction,2022-12-11,760.6595070437018
2760,Eleme Junction,2022-12-12,762.6572949305912
2768,Eleme Junction,2022-12-13,762.3240924514138
2776,Eleme Junction,2022-12-14,771.7681517159897
2784,Eleme Junction,2022-12-15,772.4288997011928
2792,Eleme Junction,2022-12-16,771.434225790835
2800,Eleme Junction,2022-12-17,773.9097460535845
2808,Eleme Junction,2022-12-18,775.3492582375092
2816,Eleme Junction,2022-12-19,777.9855507662564
2824,Eleme Junction,2022-12-20,778.7380765363796
2832,Eleme Junction,2022-12-21,777.2744675754657
2840,Eleme Junction,2022-12-22,784.7858368028259
2848,Eleme Junction,2022-12-23,786.107513261978
2856,Eleme Junction,2022-12-24,789.9232392833846
2864,Eleme Junction,2022-12-25,788.8393469983693
2872,Eleme Junction,2022-12-26,790.9777028988585
2880,Eleme Junction,2022-12-27,794.074932029201
2888,Eleme Junction,2022-12-28,799.2723924204406
2896,Eleme Junction,2022-12-29,799.8129256943084
2904,Eleme Junction,2022-12-30,800.0012474860159
2912,Eleme Junction,2022-12-31,803.7419857402111
1,Rumuola,2022-01-01,520.8343
9,Rumuola,2022-01-02,523.9110647058823
17,Rumuola,2022-01-03,525.8349621004567
25,Rumuola,2022-01-04,535.1974326490327
33,Rumuola,2022-01-05,536.0923759799502
41,Rumuola,2022-01-06,536.4031788305335
49,Rumuola,2022-01-07,537.8385436459955
57,Rumuola,2022-01-08,537.5196680061206
65,Rumuola,2022-01-09,537.5280248323664
73,Rumuola,2022-01-10,539.5588120964658
81,Rumuola,2022-01-11,539.8837740266766
89,Rumuola,2022-01-12,536.7568917429408
97,Rumuola,2022-01-13,531.6066338813031
105,Rumuola,2022-01-14,537.4765448071671
113,Rumuola,2022-01-15,536.9407978734956
121,Rumuola,2022-01-16,537.1258535055441
129,Rumuola,2022-01-17,532.5762837664125
137,Rumuola,2022-01-18,532.4222277696088
145,Rumuola,2022-01-19,537.7291787765544
153,Rumuola,2022-01-20,533.4282833616654
161,Rumuola,2022-01-21,532.166233440402
169,Rumuola,2022-01-22,529.5819730086982
177,Rumuola,2022-01-23,526.7317410333009
185,Rumuola,2022-01-24,531.7781255158638
193,Rumuola,2022-01-25,525.8284699714699
201,Rumuola,2022-01-26,530.8097265945149
209,Rumuola,2022-01-27,529.0159907455404
217,Rumuola,2022-01-28,527.3806782997075
225,Rumuola,2022-01-29,531.2844705082252
233,Rumuola,2022-01-30,528.7331318502675
241,Rumuola,2022-01-31,527.7369865784672
249,Rumuola,2022-02-01,527.0080125539362
257,Rumuola,2022-02-02,527.8162150359636
265,Rumuola,2022-02-03,528.6718451555843
273,Rumuola,2022-02-04,523.8688734143542
281,Rumuola,2022-02-05,526.5970286243813
289,Rumuola,2022-02-06,523.5788044346042
297,Rumuola,2022-02-07,528.5275495343657
305,Rumuola,2022-02-08,531.0733369895609
313,Rumuola,2022-02-09,533.7435975927956
321,Rumuola,2022-02-10,532.4426777351676
329,Rumuola,2022-02-11,530.0322736626352
337,Rumuola,2022-02-12,529.2893614016065
345,Rumuola,2022-02-13,528.1107928009603
353,Rumuola,2022-02-14,532.4867154289261
361,Rumuola,2022-02-15,534.1542309251532
369,Rumuola,2022-02-16,529.1589513856878
377,Rumuola,2022-02-17,530.8479960319752
385,Rumuola,2022-02-18,533.5463472917096
393,Rumuola,2022-02-19,532.010333076572
401,Rumuola,2022-02-20,533.6467031742011
409,Rumuola,2022-02-21,539.7412322756487
417,Rumuola,2022-02-22,537.7935925809396
425,Rumuola,2022-02-23,533.7495947891953
433,Rumuola,2022-02-24,533.0130363502103
441,Rumuola,2022-02-25,533.2192754455835
449,Rumuola,2022-02-26,530.0131228071598
457,Rumuola,2022-02-27,523.7323159585001
465,Rumuola,2022-02-28,528.5357911744362
473,Rumuola,2022-03-01,529.0858738223848
481,Rumuola,2022-03-02,528.0169516752892
489,Rumuola,2022-03-03,528.9485261729343
497,Rumuola,2022-03-04,534.239258321976
505,Rumuola,2022-03-05,530.5924708249383
513,Rumuola,2022-03-06,531.1177495775017
521,Rumuola,2022-03-07,533.2543047043789
529,Rumuola,2022-03-08,529.4775132929072
537,Rumuola,2022-03-09,528.449559305005
545,Rumuola,2022-03-10,527.8041215134903
553,Rumuola,2022-03-11,529.2454050594639
561,Rumuola,2022-03-12,527.4111735416063
569,Rumuola,2022-03-13,528.9429814791353
577,Rumuola,2022-03-14,527.8612770353894
585,Rumuola,2022-03-15,526.5550839247682
593,Rumuola,2022-03-16,524.9882787473339
601,Rumuola,2022-03-17,523.1635951231306
609,Rumuola,2022-03-18,525.0519165861937
617,Rumuola,2022-03-19,523.4514716103342
625,Rumuola,2022-03-20,528.4850601272368
633,Rumuola,2022-03-21,523.4458820890637
641,Rumuola,2022-03-22,532.5229874623471
649,Rumuola,2022-03-23,534.3721612236434
657,Rumuola,2022-03-24,529.5069828565497
665,Rumuola,2022-03-25,528.8765979995848
673,Rumuola,2022-03-26,528.6890985997093
681,Rumuola,2022-03-27,529.5872990197965
689,Rumuola,2022-03-28,529.7062493138576
697,Rumuola,2022-03-29,534.3781045197004
705,Rumuola,2022-03-30,535.8811931637903
713,Rumuola,2022-03-31,533.1250052146531
721,Rumuola,2022-04-01,533.2615036502572
729,Rumuola,2022-04-02,534.8023925551801
737,Rumuola,2022-04-03,531.050354788626
745,Rumuola,2022-04-04,532.2403183520382
753,Rumuola,2022-04-05,529.4439528464267
761,Rumuola,2022-04-06,535.8861069924988
769,Rumuola,2022-04-07,532.9081548947491
777,Rumuola,2022-04-08,529.1813884263244
785,Rumuola,2022-04-09,535.1348618984271
793,Rumuola,2022-04-10,533.8210833288989
801,Rumuola,2022-04-11,539.7739883302291
809,Rumuola,2022-04-12,533.2415818311604
817,Rumuola,2022-04-13,533.1581872818123
825,Rumuola,2022-04-14,528.2310810972685
833,Rumuola,2022-04-15,531.083516768088
841,Rumuola,2022-04-16,527.7270817376616
849,Rumuola,2022-04-17,524.0721872163631
857,Rumuola,2022-04-18,526.4661910514541
865,Rumuola,2022-04-19,533.0637337360179
873,Rumuola,2022-04-20,531.2858636152125
881,Rumuola,2022-04-21,532.5188445306487
889,Rumuola,2022-04-22,528.8560411714541
897,Rumuola,2022-04-23,527.5591288200178
905,Rumuola,2022-04-24,526.3490401740124
913,Rumuola,2022-04-25,527.8241281218087
921,Rumuola,2022-04-26,529.861989685266
929,Rumuola,2022-04-27,530.9412727796862
937,Rumuola,2022-04-28,528.2217509457804
945,Rumuola,2022-04-29,530.7906356620463
953,Rumuola,2022-04-30,525.2673249634324
961,Rumuola,2022-05-01,530.1997674744027
969,Rumuola,2022-05-02,531.9281372320819
977,Rumuola,2022-05-03,530.8137460624573
985,Rumuola,2022-05-04,534.7166422437201
993,Rumuola,2022-05-05,535.0511295706041
1001,Rumuola,2022-05-06,534.4157506994229
1009,Rumuola,2022-05-07,531.2426354895961
1017,Rumuola,2022-05-08,532.7936848427172
1025,Rumuola,2022-05-09,533.4554593899021
1033,Rumuola,2022-05-10,531.8915715729314
1041,Rumuola,2022-05-11,532.431250101052
1049,Rumuola,2022-05-12,534.7760650707364
1057,Rumuola,2022-05-13,534.2494555495155
1065,Rumuola,2022-05-14,535.4530388846608
1073,Rumuola,2022-05-15,531.4345572192626
1081,Rumuola,2022-05-16,534.3424400534839
1089,Rumuola,2022-05-17,533.7581180374387
1097,Rumuola,2022-05-18,536.2933526262071
1105,Rumuola,2022-05-19,534.932296838345
1113,Rumuola,2022-05-20,534.1284777868415
1121,Rumuola,2022-05-21,532.7538844507891
1129,Rumuola,2022-05-22,529.2352491155523
1137,Rumuola,2022-05-23,529.7096543808866
1145,Rumuola,2022-05-24,532.9061980666206
1153,Rumuola,2022-05-25,534.1388686466344
1161,Rumuola,2022-05-26,535.990028052644
1169,Rumuola,2022-05-27,530.4278396368508
1177,Rumuola,2022-05-28,531.8251077457955
1185,Rumuola,2022-05-29,536.400705422057
1193,Rumuola,2022-05-30,531.2553737954398
1201,Rumuola,2022-05-31,528.6710616568079
1209,Rumuola,2022-06-01,530.5986631597655
1217,Rumuola,2022-06-02,533.5898542118358
1225,Rumuola,2022-06-03,533.5477779482851
1233,Rumuola,2022-06-04,531.6475545637996
1241,Rumuola,2022-06-05,535.0166281946597
1249,Rumuola,2022-06-06,528.2236897362618
1257,Rumuola,2022-06-07,530.2804628153833
1265,Rumuola,2022-06-08,530.2417739707683
1273,Rumuola,2022-06-09,528.0505217795378
1281,Rumuola,2022-06-10,530.1895152456764
1289,Rumuola,2022-06-11,529.6508006719735
1297,Rumuola,2022-06-12,533.5605204703814
1305,Rumuola,2022-06-13,534.687044329267
1313,Rumuola,2022-06-14,530.172361030487
1321,Rumuola,2022-06-15,529.5239227213409
1329,Rumuola,2022-06-16,526.3598459049387
1337,Rumuola,2022-06-17,525.269032133457
1345,Rumuola,2022-06-18,525.0913624934199
1353,Rumuola,2022-06-19,531.2869137453939
1361,Rumuola,2022-06-20,531.6224596217758
1369,Rumuola,2022-06-21,526.638901735243
1377,Rumuola,2022-06-22,528.0337212146701
1385,Rumuola,2022-06-23,533.5477748502691
1393,Rumuola,2022-06-24,523.2831623951884
1401,Rumuola,2022-06-25,522.0921436766318
1409,Rumuola,2022-06-26,523.7391605736423
1417,Rumuola,2022-06-27,530.7250924015497
1425,Rumuola,2022-06-28,527.7528446810848
1433,Rumuola,2022-06-29,529.7631912767592
1441,Rumuola,2022-06-30,533.9627438937315
1449,Rumuola,2022-07-01,537.405980725612
1457,Rumuola,2022-07-02,535.5404365079283
1465,Rumuola,2022-07-03,533.9804855555499
1473,Rumuola,2022-07-04,532.9488198888849
1481,Rumuola,2022-07-05,530.9469139222194
1489,Rumuola,2022-07-06,528.4985797455536
1497,Rumuola,2022-07-07,528.7928258218875
1505,Rumuola,2022-07-08,531.9780380753213
1513,Rumuola,2022-07-09,526.5295166527249
1521,Rumuola,2022-07-10,529.4617116569074
1529,Rumuola,2022-07-11,524.9993581598352
1537,Rumuola,2022-07-12,525.3978007118847
1545,Rumuola,2022-07-13,527.1693304983194
1553,Rumuola,2022-07-14,531.2034213488237
1561,Rumuola,2022-07-15,533.2817849441766
1569,Rumuola,2022-07-16,528.1541594609237
1577,Rumuola,2022-07-17,530.7280516226466
